CATEGORY,COURSE_TITLE,COLLEGE,COURSE_CODE,2020,2021,2022_PREDICTION,LEVEL
Personal services,Exercise Sciences (options),Waterford Institute of Technology,WD006,280,270,260,8
Engineering and engineering trades,Engineering (options),Waterford Institute of Technology,WD007,288,270,253,8
Engineering and engineering trades,Electronic Engineering,Waterford Institute of Technology,WD010,181,419,970,6
Engineering and engineering trades,Mechanical Engineering,Waterford Institute of Technology,WD011,198,170,146,6
Law,Legal Studies,Waterford Institute of Technology,WD013,177,NA,NA,6
Welfare,Applied Social Care,Waterford Institute of Technology,WD018,171,181,192,7
Personal services,Recreation and Sport Management,Waterford Institute of Technology,WD019,174,NA,NA,7
Architecture and construction,Construction Management and Engineering,Waterford Institute of Technology,WD025,269,262,255,8
Arts,Music,Waterford Institute of Technology,WD027,262,321,393,8
Business and administration,Business (options),Waterford Institute of Technology,WD048,271,279,287,8
"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Forestry,Waterford Institute of Technology,WD076,243,216,192,7
Business and administration,Accounting,Waterford Institute of Technology,WD084,308,308,308,8
Personal services,Hospitality Management,Waterford Institute of Technology,WD091,228,225,222,8
Architecture and construction,Architectural Technology,Waterford Institute of Technology,WD094,166,176,187,7
Agriculture,Horticulture (Waterford - Kildalton),Waterford Institute of Technology,WD096,260,226,196,7
Agriculture,Horticulture (Dublin - National Botanic Gardens),Waterford Institute of Technology,WD097,NA,223,NA,7
Health,General Nursing,Waterford Institute of Technology,WD116,422,446,471,8
Health,Psychiatric Nursing,Waterford Institute of Technology,WD117,366,415,471,8
Health,Intellectual Disability Nursing,Waterford Institute of Technology,WD120,377,390,403,8
Agriculture,Agriculture,Waterford Institute of Technology,WD126,327,328,329,7
Business and administration,International Business,Waterford Institute of Technology,WD134,290,267,246,8
Arts,Design (Visual Communications),Waterford Institute of Technology,WD137,271,252,234,8
Architecture and construction,Civil Engineering,Waterford Institute of Technology,WD139,206,NA,NA,7
Law,Laws,Waterford Institute of Technology,WD140,280,280,280,8
Architecture and construction,Architecture,Waterford Institute of Technology,WD144,284,309,336,8
Physical sciences,Pharmaceutical Science,Waterford Institute of Technology,WD147,293,288,283,8
Welfare,Early Childhood Studies,Waterford Institute of Technology,WD149,271,NA,NA,8
Law,Criminal Justice Studies,Waterford Institute of Technology,WD150,270,280,290,8
Information and Communication Technologies (ICTs),Software Systems Development,Waterford Institute of Technology,WD151,NA,165,NA,7
Arts,Visual Art,Waterford Institute of Technology,WD152,NA,243,NA,8
Information and Communication Technologies (ICTs),Multimedia Applications Development,Waterford Institute of Technology,WD153,163,195,233,7
Information and Communication Technologies (ICTs),Information Technology,Waterford Institute of Technology,WD155,211,195,180,7
Business and administration,Business,Waterford Institute of Technology,WD159,195,191,187,7
Information and Communication Technologies (ICTs),Computer Forensics and Security,Waterford Institute of Technology,WD161,255,270,286,8
Architecture and construction,Quantity Surveying,Waterford Institute of Technology,WD162,216,226,236,8
Social and behavioural sciences,Psychology,Waterford Institute of Technology,WD163,434,456,479,8
Biological and related sciences,Food Science with Business,Waterford Institute of Technology,WD164,309,328,348,7
Personal services,Culinary Arts,Waterford Institute of Technology,WD172,NA,NA,NA,6
Personal services,Hospitality Studies,Waterford Institute of Technology,WD173,NA,158,NA,6
Personal services,Tourism,Waterford Institute of Technology,WD174,NA,NA,NA,6
Physical sciences,Pharmaceutical Science,Waterford Institute of Technology,WD175,226,224,222,7
Biological and related sciences,"Science (Mol. Biology with Biopharm.,Food Science with Business,Pharm.)",Waterford Institute of Technology,WD177,222,205,189,7
Engineering and engineering trades,Electrical Engineering,Waterford Institute of Technology,WD182,NA,NA,NA,7
Business and administration,Retail Management,Waterford Institute of Technology,WD184,163,190,221,7
Personal services,Sports Coaching and Performance,Waterford Institute of Technology,WD186,270,261,252,8
Welfare,Social Science,Waterford Institute of Technology,WD187,272,276,280,8
Health,Applied Health Care,Waterford Institute of Technology,WD188,201,220,241,7
Agriculture,Agricultural Science,Waterford Institute of Technology,WD191,377,377,377,8
Welfare,Social Care Practice,Waterford Institute of Technology,WD192,270,271,272,8
Business and administration,Marketing and Digital Media,Waterford Institute of Technology,WD193,271,279,287,8
Personal services,Culinary Arts,Waterford Institute of Technology,WD194,217,237,259,8
Architecture and construction,Architectural and Building Information Modelling Technology,Waterford Institute of Technology,WD195,279,279,279,8
Arts,Arts (options),Waterford Institute of Technology,WD200,NA,201,NA,8
Health,Molecular Biology with Biopharmaceutical Science,Waterford Institute of Technology,WD205,228,NA,NA,7
Engineering and engineering trades,Electronic Engineering,Waterford Institute of Technology,WD206,179,180,181,7
Engineering and engineering trades,Mechanical Engineering,Waterford Institute of Technology,WD207,198,172,149,7
Manufacturing and processing,Manufacturing Engineering,Waterford Institute of Technology,WD208,188,317,535,7
Information and Communication Technologies (ICTs),Software Systems Development,Waterford Institute of Technology,WD210,279,260,242,8
Information and Communication Technologies (ICTs),Creative Computing,Waterford Institute of Technology,WD211,271,270,269,8
Personal services,Recreation and Sport Management,Waterford Institute of Technology,WD212,270,262,254,8
Engineering and engineering trades,Mechanical and Manufacturing Engineering,Waterford Institute of Technology,WD230,253,230,209,8
